from,to,text,type_link
georgia24se7en,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
morescribbles,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
reducedinsayles,tes,"RT @tes: It's official - more disadvantaged pupils did have their #alevelresults downgraded by the @ofqual system than their wealthier peers, admits @educationgovuk https://t.co/ReI52PDXKs",retweet
jly1960,mybluekite,RT @mybluekite: @MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,retweet
SusanSt51,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
rpmwebs,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
StainlessSRat,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
SimplyAYT_,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
AntonWeye,cirian75,"RT @cirian75: Only reason @BorisJohnson and the @Conservatives have not offered @GavinWilliamson up as a sacrificial dead cat &amp; sacked him over the #AlevelResults fiasco

Is they need to keep him were he is until the much much bigger GCSE fiasco kicks off in 6 days

So they can sack him then https://t.co/VEpO3kBr63",retweet
sarahowens0,ajjolley,"RT @ajjolley: Gavin Williamson tried to justify his blaming the #AlevelResults fiasco on teachers, by claiming some centres only entered â€œan A, an A* or a Bâ€

Just put in an FOI to ofqual to ask for a list of these schools

Anyone care to guess how many there will be?",retweet
laylahigham1,FischmanGuy,"RT @FischmanGuy: Funny, maths A Level never taught me the equation that converts my  predicted AAA into DDB #alevels2020 #goodbyemedicine #clapforalevels #AlevelResults",retweet
AurelieElentiya,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
DonWurkin,cirian75,"RT @cirian75: Here is the weirdest #AlevelResults so
far

Student did double maths

Maths and advanced Maths

predicted double A*

Got and D and a A*

Wait for the kicker
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

The D was Maths, the A* for advanced Maths https://t.co/g76vZ9hOmc",retweet
hftaman,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
elliscli_,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
SDinPraxis,tes,RT @tes: Legal campaigners @GoodLawProject prepare Judicial review case against @ofqual after receiving a deluge of examples of students impacted by the #alevelresults controversy https://t.co/kjmDITQqr1,retweet
hideywolsh,_miaseale,RT @_miaseale: So youâ€™re telling me that being given ABB and being rejected from medical school was a result of a â€œfair and standardised procedureâ€ despite my centre assessment grades being AAA and achieving AAA in my mocks ? Unjustifiable #AlevelResults #ALevelProtests,retweet
cwagstaff,DrAlister,"RT @DrAlister: We still have places on our brand new #pharmacology course @RSofPharmacy where you can join a team with experience in developing new medicines, fighting Covid-19 with llama antibodies and understanding the pharmacology of snake bites #AlevelResults  #Clearing2020 #WelcomeToUoR https://t.co/1Ywd4OKHoO",retweet
padraigous,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
padraigous,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
ThinkingNothin,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
clarky2006,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
meena_jazz,maelhmatthews,RT @maelhmatthews: Hold on to your hats ... 2 million GCSE results to be downgraded.... no way out if that @GavinWilliamson McDonald's might have a job?!? You've had it pal. #AlevelResults #alevels2020 #gcse2020 #gradeguttinggav,retweet
JohnSteed160672,shotbylucynorth,RT @shotbylucynorth: A-levels students march from Downing Street to the Department of Education after 39.1% of students have their grades downgraded #AlevelResults #alevels2020 #alevels #photojournalism #examshambles #examresults2020 #alevelprotest #ExamResults https://t.co/G9z3EaXgp6,retweet
kevinthwaites,Siobhain_Mc,"RT @Siobhain_Mc: My urgent letter to @BorisJohnson on behalf of my young, hard working constituents on the injustice of the results day algorithm and the immediate need for teacher assessed grades to be accepted #AlevelResults https://t.co/ndgcg42Q6H",retweet
JenniferPinnie,JerryHicksUnite,"RT @JerryHicksUnite: Massive respect &amp; solidarity : Students marching outside Downing Street
https://t.co/0CdPgR9QDz
#AlevelResults #GavinWilliamsonResign #Eton",retweet
TymVirginia,DavidHeadViews,"RT @DavidHeadViews: If Michael Gove had not scrapped modular A Levels against the advice of teaching pros, everyone receiving their A Level results today would have their grades based largely on their accumulated assessments. The finger of accusation should be pointed firmly at him. #AlevelResults",retweet
Rabz0509,crispyhalloumi,RT @crispyhalloumi: Not sure on who changed this but Iâ€™m deadðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ couldnâ€™t of been more accurate tbh #GavinWilliamson #examshambles #AlevelResults https://t.co/IGVt3aYqIC,retweet
beverleyanneste,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
MAEgofrance,CarolineVoaden,"RT @CarolineVoaden: 2020 has seen me lose my job to Brexit, my husb lose his to Covid and daughter 1's much strived for year abroad cut short. The worst of all is seeing daughter 2 robbed of A level grades she deserved. Only this could be fixed if the govt cared enough to do so. #AlevelResults",retweet
IMMORTALHAZARD2,JosephYA155,RT @JosephYA155: Boris Johnson: Boris Johnson: we need a fairer system for this yearâ€™s A-level and GCSE students #AlevelResults - Sign the Petition! https://t.co/741l6omnWX via @UKChange,retweet
brightonatheart,johnschwab,RT @johnschwab: Can we please see this algorithm ourselves so us tech savvy people and see how you got it so wrong? Why hide it? @Conservatives grow a pair and let us unpick it for you.    #AlevelResults,retweet
jackieschneider,mybluekite,RT @mybluekite: @MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,retweet
aileenwilson_,kimichaddahx,"RT @kimichaddahx: (THREAD) So, let's talk: mental health of Y13s, because this week, everybody remembers we exist!
1. We 'left' school in March. No/little contact with school after, no work, no purpose.
2. Exams cancelled. Nobody knew anything for 2 days.
#AlevelResults #alevels2020 #alevels",retweet
andycarmich,TheCanaryUK,"RT @TheCanaryUK: The Tory government's appalling exam fiasco has put the hopes and dreams of thousands of young people in jeopardy. 

But universities can limit the damage done to these young people's futures. Worcester College has. Let's hope others follow the example.

#AlevelResults https://t.co/bqvQP8X5vL",retweet
AmyLouuSmith,thehysteriaco,RT @thehysteriaco: Did you receive A level results this week? Are you angry about the system? We would love to platform your anger on our website! Comment below and RT for anyone that may be interested â£ï¸ðŸ¦‹ #AlevelResults #journorequest,retweet
FrancoiseGoral,cirian75,"RT @cirian75: Here is the weirdest #AlevelResults so
far

Student did double maths

Maths and advanced Maths

predicted double A*

Got and D and a A*

Wait for the kicker
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

The D was Maths, the A* for advanced Maths https://t.co/g76vZ9hOmc",retweet
_ashixo,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
Nafiisaa3,mybluekite,RT @mybluekite: @MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,retweet
jermgray,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
peterel74038008,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
cazjd1,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
ItsDresWay,DavidHeadViews,"RT @DavidHeadViews: If Michael Gove had not scrapped modular A Levels against the advice of teaching pros, everyone receiving their A Level results today would have their grades based largely on their accumulated assessments. The finger of accusation should be pointed firmly at him. #AlevelResults",retweet
Kelly54593802,paddydocherty,RT @paddydocherty: ðŸ˜–âœŠðŸŒ¹ðŸ‡ªðŸ‡º #3Point5Percent #resist #ALevelResults #alevels2020 ðŸ’¥ https://t.co/5wiQT3fHWH,retweet
nehaalfhb,USSU,"RT @USSU: ðŸ¤— Wondering what the Students' Union is all about? 

ðŸ‘‰Watch our video below and find out!
https://t.co/qyosNuBntM

 #resultsday2020  #Alevelresults #sussexuni #heysussex #ussu",retweet
Nile___05,Rohan___11,RT @Rohan___11: Spread this thread. This isnâ€™t talked about enough ðŸ™„ðŸ˜¤ #AlevelResults #ALevelResultsDay2020 https://t.co/tsYcoa59Td,retweet
Dazza09,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
22angelaharris1,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
GeorgiaMellon,billhummertrout,"RT @billhummertrout: btw you do NOT have to pay to resit exams this year, it has been confirmed by the DfE and ofqual. your school, college or sixth form should not be charging you. #examshambles #alevels2020 #alevelresults #gcseresults https://t.co/fY5SDqsBXd",retweet
Haid3rRizvi,BilalE74,RT @BilalE74: How The Government chose our A-Level Grades #AlevelResults #alevels2020 #alevelresultsday https://t.co/wOMZPBAXRO,retweet
NasWasTaken,sumiyya_iqbal,RT @sumiyya_iqbal: @GuardianEdu @guardian Both my ex-students in the picture below have achieved top A-level grades and are off to Oxford and UCL. Inaccurate headline and misrepresentation of our students. Very disappointed #AlevelResults #examshambles #alevel2020 https://t.co/OYzVIcrOUt,retweet
Tamsin_J_Ford,DrS_Reynolds,RT @DrS_Reynolds: Absolutely brilliant decision.  And if they can why canâ€™t the others? #AlevelResults https://t.co/Yq3eTdzhV7,retweet
AndIlkley,maelhmatthews,"RT @maelhmatthews: More and more stories coming out about students missing opportunities because of fatally flawed algorithm. The Government are clinging on when even they must know they have failed us .... again. @GavinWilliamson, your position is untenable. #AlevelResults",retweet
Ustad_Gamedle,ofqual,"@ofqual has to be disbanded &amp; @GavinWilliamson must resign. They're not fit to run #UK's education system. They literally destroyed lives &amp; ambitions of 1000s. This corrupt &amp; unfair system must end. Shame on @ofqual &amp; @educationgovuk.
#AlevelResults #alevels

â™¥ðŸ‡¬ðŸ‡§
#Islam #Muslims https://t.co/OzreZ3D847",reply
siobhan_broad,JimBethell,@JimBethell Just a tad insensitive. Well my sonâ€™s choices have been rather limited due to the total shambles with A-Level grades so Iâ€™m not sure what heâ€™s going to do next. Anyone want an apprentice in the financial industry with a U grade in maths? ðŸ¤·ðŸ¼â€â™€ï¸ #examshambles #AlevelResults,reply
Dutts4,leicesterliz,@leicesterliz Who would you rather trust? One of your sons/daughters teachers whoâ€™s worked with them for years or a Tory Minister? ðŸ¤”ðŸ¤” #torychaos #ToryCorruption #AlevelResults Let them have their predicted grades which are evidence based. #examshambles,reply
sumiyya_iqbal,GuardianEdu,@GuardianEdu @guardian Both my ex-students in the picture below have achieved top A-level grades and are off to Oxford and UCL. Inaccurate headline and misrepresentation of our students. Very disappointed #AlevelResults #examshambles #alevel2020 https://t.co/OYzVIcrOUt,reply
clynt1962,AndyBurnhamGM,@AndyBurnhamGM @ofqual #AlevelResults our childrenâ€™s futures sold down the river another victim of #BorisJohnsonâ€™s incompetence! #GavinWilliamsonResign your not fit for purpose!,reply
tneal321,RicHolden,@RicHolden Good evening Richard  ...have you any planned proposals to question your party leadership regarding the shambles that has been A-Level results?? Your constituents are caught up in this @GavinWilliamson ??? #AlevelResults #alevels,reply
notatoryteacher,SarahOwen_,@SarahOwen_ Heâ€™s not the only one. Itâ€™s happened in my school too #AlevelResults #examshambles,reply
ChristineJameis,LBC,@LBC @RachelSJohnson #AlevelResults #classwar #ResignWilliamson,reply
Tasseltine,Tasseltine,#AlevelResults,reply
Amscreen_Steve,AndyBurnhamGM,@AndyBurnhamGM Of course! Boris is turning into Trump by orchestrating political distractions. R4 raised that the ukâ€™s top scientists saw no reason to quarantine - clearly itâ€™s a political distraction from #AlevelResults! They donâ€™t care how many people they upset to drive their agenda!,reply
CrosbieLiz,LSEnews,@LSEnews alumni are watching your reaction to the #AlevelResults fiasco. Diversity &amp; access are core to the values of the School. Please do the right thing Dame Minouche Shafik https://t.co/P5EssmQUPT,reply
Weaskwhypodcast,JamieIdeas,@JamieIdeas Even with changed A Levels if we allow our freedoms to be taken away even more there wonâ€™t be enough jobs to accommodate anyway. Get use to that sweet sweet UC - universal crap! #jamieideas #AlevelResults,reply
eduosborne,GaryLineker,"@GaryLineker @FCBarcelona Did the Barcelona defence decide the #AlevelResults?

#Shambles",reply
richardmills18,wayward24,@wayward24 #Williamson  just the office boy -  otherwise the #Tories would just sack him..... again #AlevelResults,reply
celticchickadee,GavinWilliamson,@GavinWilliamson #THINKON   This is just wrong. Fix it or resign. #AlevelResults https://t.co/5OFMKBSZtA,reply
celticchickadee,GavinWilliamson,@GavinWilliamson #THINKON   This is just wrong. Fix it or resign. #AlevelResults https://t.co/5OFMKBSZtA,reply
eduosborne,jpfuller74,"@jpfuller74 Thanks for that. That's shocking.

Like attempting brain surgery with a lump hammer.

#AlevelResults",reply
ChristineJameis,Keir_Starmer,@Keir_Starmer @AndyBurnhamGM @jeremycorbyn @BBCBreakfast @lewis_goodall @GoodLawProject @EHRC @suttontrust @NEUnion @UniofOxford @Cambridge_Uni @ucas_online @NASUWT @paysupplystaff @tes @AaronBastani @RLong_Bailey @AngelaRayner #AlevelResults #socialmobility @AbolishEton https://t.co/I33F5pmyfE,reply
DrSelvarajah,NikkiKF,@NikkiKF One of the Oxford colleges has agreed to honour the offers. So @Cambridge_Uni can do the same. #alevels2020 #AlevelResults https://t.co/T9XbyDUwwn,reply
richardmills18,SimonPease1,@SimonPease1 #LevellingUp . How's it going Mr #Johnson ?  #AlevelResults #Eton,reply
Chasmanthium,DrNicholasPGeo1,@DrNicholasPGeo1 @LincsTories4EU @derekjames150 Margaret Thatcher's fall began when she tried to push through the Poll Tax &amp; middle class Tories wrote in to protest at the hurt they were feeling. It's when things affect people personally that they get really angry - all the ingredients are there #covid #AlevelResults #Brexit,reply
ChristineJameis,ChristineJameis,#AlevelResults #classwar #ResignWilliamson,reply
caroline1302,GaryLineker,@GaryLineker Pls support and RT https://t.co/bZM55tBpkD #alevels2020 #AlevelResults #alevels,reply
dorsetlad,itsamyturnbull,"@itsamyturnbull Comments please @BorisJohnson - - has the penny not dropped yet? This algorithm is a lottery that's destroying young lives. They have no jobs, no fun, have to stay in to protect the old.
This is how you repay it. So out of touch!
#examshambles
#AlevelResults",reply
caroline1302,Jasonmansford,@JasonMansford Pls support at least with and RT https://t.co/bZM55tBpkD #AlevelResults,reply
litstudent2,WorcCollegeOx,"@WorcCollegeOx are letting people in regardless of their grades @LivUni @durham_uni are you going to follow in their footsteps????? I really hope so!
#examshambles #AlevelResults #alevels2020",reply
ShirleyAnnesm,ollie_a23,"@ollie_a23 Keep speaking! Be mad. I am mad also!
#examshambles #alevels2020 #AlevelResults",reply
buteramattell,GavinWilliamson,"@GavinWilliamson you do realise the postcode lottery isn't actually a viable A level result algorithm right- ðŸ¤¦ðŸ¼â€â™€ï¸
#AlevelResults #alevels2020",reply
croftyemm,croftyemm,"Funnily enough, the CAGs fell in line with our usual results and as Head of Dept I know we didn't look to see how CAGs would compare. Yesterday, I pretended I'd never seen our grades before.
So now, the whole cohort is down 37%....

@GavinWilliamson  #AlevelResults",reply
JessGou81491674,BorisJohnson,"@BorisJohnson Your Sir, are a disgrace - You and Williamson are 'under-qualified' and 'over-promoted' buffoons who have utilised a catastrophe to ensure that the poor get poorer and the rich get richer. A plague on both your houses - Good day! #AlevelResults #examshambles #sackgavinwilliamson",reply
ChristineJameis,BBCBreakfast,@BBCBreakfast #AlevelResults #classwar #ResignWilliamson,reply
croftyemm,croftyemm,"2/3  I'm also fortunate to teach in a school that is well run and successful with results. We were under no pressure as a school or individual to inflate the grades. We were left to be totally professional and with integrity. 
@GavinWilliamson  #AlevelResults",reply
RosAsquith,smiffquiff1,@smiffquiff1 @MichaelRosenYes Do you think the French quarantine is Johnsonâ€™s â€˜Dead catâ€™ to divert attention from the #AlevelResults fiasco?,reply
ChristineJameis,AndyBurnhamGM,@AndyBurnhamGM @MMaureen01 @ofqual #AlevelResults #classwar #OFQUAL,reply
majanovelist,PeterStefanovi2,"@PeterStefanovi2 â€œGet jobs stacking shelves in Tesco, peasants - university isnâ€™t for the likes of you.â€ #knowyourplace #AlevelResults",reply
_CiaraHiggins,GavinWilliamson,@GavinWilliamson get of this silence wave before it crashes ðŸ¥´ #AlevelResults #alevels2020 #sillybean,reply
RachaelRoyce,AnnoyedStudent2,"@AnnoyedStudent2 @GavinWilliamson Hopefully this generation of young people will remember when they come to next vote
First to experience unfair grading system for A levels. Their futures determined by Brexit &amp; Impact of Covid
40% of A level results downgraded.. let down by the Conservatives! #ALevelresults",reply
OlazOmosco,BorisJohnson,"@BorisJohnson @GavinWilliamson @pritipatel @DominicRaab @MattHancock For D avoidance of doubt, this govt has the most racist and shambolic cabinet in modern era!  You simply cannot help putting your foot right into it!SMFH #AlevelResults #alevels2020 #sackgavinwilliamson #racism",reply
AroCerys,AroCerys,#ResultsDay #AlevelResults #alevels2020 #ResignWilliamson,reply
green_woman1,Vemsteroo,@Vemsteroo @jessphillips Why should schools have to pay? #govt problem to sort out. #ToryShambles #ToryChaos #ExamResults #AlevelResults #England,reply
Maria264506501,WarmongerHodges,"@WarmongerHodges 'If only' isn't very helpful for the young people who have been locked down for months, lost loved ones to a pandemic and then got f**ked over. #AlevelResults #COVID19 I honestly don't think @jeremycorbyn would appreciate your schadenfreude.",reply
OlazOmosco,ofqual,"@ofqual @BorisJohnson @GavinWilliamson @SkyNews TRUE HISTORY WILL JUDGE YOU ONE BY ONE.  YOU ARE ALL BUNCH OF CERTIFIED RACIST, CLASSIST AND UNSCRUPULOUS OVERPAMPERED BUFFOONS.  SEE YOU IN COURT! #ALEVELRESULTS #sackgavinwilliamson #sacktorycheats",reply
jenben71,justinmadders,"@justinmadders Hiding in a fridge?
#ToryShambles #AlevelResults #BorisHasFailedUK #corruptionmustfall",reply
Greg_Dryer,educationgovuk,@educationgovuk must have run some #AlevelResults to test the algorithm. How could they have not seen the pattern? Are they so blinkered that they donâ€™t see inequitable outcomes or do they think itâ€™s normal? â€˜Levelling upâ€™ - donâ€™t think so.,reply
aliiii_haider,aliiii_haider,#AlevelResults,reply
RajbinderB,OrielOxford,"@OrielOxford Rigidly sticking by Rhodes for too long probably means we have the least diverse applicant pool going, but this is an unmissable opportunity to do the right thing. #Oxbridge #AlevelResults #Worcester https://t.co/PHDCAGUGAe",reply
PFloppe,presvila,"@presvila @BorisJohnson @GavinWilliamson Anyone impacted like this in their A-level results, especially if you have a Tory MP, hound them... keep hounding them, then hound them again... then swear never to vote Tory. Same will go for GCSE students next week. #alevels2020 #AlevelResults #ToryShambles",reply
AliMFreeh,JolyonMaugham,"@JolyonMaugham @LouIseAKennedy @JolyonMaugham"" I think this case is worth lookjng into ""I am begging you to retweet this. Please. My life is ruined.,""
#AlevelResults #alevels2020 #alevels https://t.co/EgO5sLHQcb",reply
Aaron_Lee_Twitr,Aaron_Lee_Twitr,"PETITION FOR FAIRER USE OF TEACHER RECOMMENDED GRADES AND A MORE ACCESSIBLE APPEALS SYSTEM 

https://t.co/slbYeq65JA

#AlevelResults #alevels #alevelresults2020 #ToryShambles #alevels2020 #examshambles",reply
chomping45002,rowlsmanthorpe,@rowlsmanthorpe This needs to be #headline news #examshambles #AlevelResults,reply
ShaylenDutt,ShaylenDutt,What happened to equality in this country. But donâ€™t worry guys the systems Fair and rObUsT. #AlevelResults #BorisHasFailedTheUK,reply
jrex62,Keir_Starmer,@Keir_Starmer Lots of words . But what about a formal written complaint to the PM on shambolic handling and obvious political targetting. After all you are the LOTO. #AlevelResults #examshambles #ToryShambles,reply
JessGou81491674,JessGou81491674,#AlevelResults #examshambles,reply
clairereeves83,DavidLammy,"@DavidLammy @GavinWilliamson It will cause lifelong generational inequality with a disproportionate number of privileged students taking up places at top unis, leading to top jobs. Fantastic working class students missed out on their uni places by a hair's breadth #examshambles #AlevelResults #alevels2020",reply
DianaPowves,angier68_angela,"@angier68_angela @guardiannews Legal campaigners 
@GoodLawProject
 prepare Judicial review case against 
@ofqual
 after receiving a deluge of examples of students impacted by the #alevelresults controversy",reply
DianaPowves,guardiannews,"@guardiannews Legal campaigners 
@GoodLawProject
 prepare Judicial review case against 
@ofqual
 after receiving a deluge of examples of students impacted by the #alevelresults controversy",reply
DianaPowves,AndyBurnhamGM,"@AndyBurnhamGM @edjuardo Legal campaigners 
@GoodLawProject
 prepare Judicial review case against 
@ofqual
 after receiving a deluge of examples of students impacted by the #alevelresults controversy",reply
TimMorton2,alexbellars,@alexbellars He canâ€™t spell â€˜theyâ€™. Perhaps thatâ€™s why he fluffed his #AlevelResults,reply
mybluekite,MichaelRosenYes,@MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,reply
celticchickadee,Channel4News,@Channel4News â€˜consideringâ€™ waiving the fee for appeals? I thought they already said it would be free? #AlevelResults,reply
EleanorBigby,spikedonline,"@spikedonline @seatradelaw What is the point of #AlevelResults anyway? Why do kids need to go to uni? Go travelling, get a job, earn money.  More mind expanding than uni any day ðŸŒ",reply
LisatheSimpson,fascinatorfun,@fascinatorfun I want @GavinWilliamson to face up to every young person in floods of tears because of the mess he created. Parents are picking up the pieces and we have no answers. #AlevelResults,reply
daveshep1,julianknight15,@julianknight15 Still silence..???? You are a total waste of a vote..!!! #AlevelResults #alevels #ToryShambles,reply
JessDuxbury1,WorcCollegeOx,@WorcCollegeOx You have set the bar high. I do hope that every other College and University in the UK follows your fantastic example. Proud to be an Oxford Alumna today.#welldoneWorcesterCollegeOxford #AlevelResults @ucas_online @UCASMedia,reply
BurdenedBraCup,GavinWilliamson,@GavinWilliamson are you going to offer fair #AlevelResults or not? https://t.co/tRjpMjLmjt,reply
timjsimmons,AnitaCTHF,@AnitaCTHF Suddenly Scottish SQA results seem so much better  handled! #ToryShambles #examshambles #AlevelResults #SQAresults,reply
alan2907,nickpchurch,@nickpchurch @katierazz @lewis_goodall @Cambridge_Uni @GavinWilliamson @Cambridge_Uni Step up &amp; stand apart from the shambles that @GavinWilliamson &amp; @BorisJohnson are Cambridge! Do the right thing! #ToryShambles #AlevelResults #examshambles #ResignWilliamson #BorisHasFailedTheUK,reply
daveshep1,Specktator100,@Specktator100 @JBelgutay @AndyBurnhamGM Please @AndyBurnhamGM - you always did sound level headed - and thatâ€™s from a Tory voter #alevels #AlevelResults,reply
bestepekoleji,bestepekoleji,They will overcome all the challenges that stand in front of development with their knowledge and self-confidence. #SÄ±radanOlma #JoinUs #ALevel #ALevelResults #BestepeCollege,reply
Bodderings,Bodderings,"#ToryShambles #AlevelResults #ALevelProtests 

To all those shafted by this government, here's what you have to do now:

7) Pile on the pressure. Governments DO back down, and you lot are the future, the new voters and the new hope. Us oldies support you.",reply
Bodderings,Bodderings,"#ToryShambles #AlevelResults #ALevelProtests 
To all those shafted by this government, here's what you have to do now:

6) Follow @GoodLawProject - they are campaigning for a judicial review on your behalf.",reply
TurraloonNS,toryboypierce,"@toryboypierce @LBC This downgrading thing is going far too far, ask poor old C.D. Milne...
#AlevelResults https://t.co/I6tx298VZy",reply
Lornaaw,Lornaaw,"These will be the same people saying the system should go back to reading, writing and arithmetic. Which seemingly on all 3 counts makes very poor decision makers in parliament. You couldnâ€™t write this shit #AlevelResults",reply
davie5456,TracymOshea,@TracymOshea @Caorthannach And good riddance. #AlevelResults,reply
Bodderings,Bodderings,"#ToryShambles #AlevelResults #ALevelProtests 
To all those shafted by this government, here's what you have to do now:

5) Appeal, but do the other stuff first. Apparently YOU will have to pay for it, and as the odds are already against you, have you confidence in it?",reply
AkramMwanga,Madz_Grant,@Madz_Grant @NRobynG Unions have a lot to answer for - the government and many advocated for pupils to go back to school and they didn't. We have known all along that transmission in schools is very very low and the symptoms in the young are very very mild. Why didn't kids go back?  #AlevelResults,reply
ValeriePezeron,ValeriePezeron,"If you know anyone, please ask them to contact Dan Rosenberg (Partner at Simpson Millar) ASAP 0800 260 5010
https://t.co/QKy6ZjxzIE 2/ #AlevelResults",reply
markdurno,mrjamesob,@mrjamesob why is the government so keen to get children back to school in September - why not just mark everyone based on where they come from? #AlevelResults #ToryShambles #GavinWilliamsonResign #ToryCorruption,reply
